adhesive, adverse, dependency, dump, eternal, fluctuate, fro, inclusion, intermediate, intermittent,mentor, phoenix, photosynthesis, pollen, regain, reverse, swarm, texture, tickle, vibrant,
abolish, amend, aspire, censor, charter, constitution, cosmopolitan, disseminate, flatter,infamous, lame, limp, outburst, pathological, phenomenal, poll, remorse, secrecy, tackle, trance,
coward, delete, firsthand, earnest, ethnic, exclude, fluent, imperial, inclusive, legislature,linguistic, monolingual, nationality, patriot, prosecute, racial, solemn, solidarity, tact, undermine,
allocate, appetizing, blizzard, cavity, clockwise, concentric, courtesy, crisp, discord, frigid,generate, glacial, interchange, locker, multicultural, omission, oversee, pierce, replicate, wavy,
abide, conversion, cram, defer, export, fume, habitual, justify, output, overpopulation, patent,penalize, petroleum, prototype, scrap, sector, subscribe, subsist, suspend, synthesis ,
acrobat, advocacy, communal, fluid, harmonize, industrious, inventive, judicial, Mandarin,metropolitan, mimic, misguided, rehearse, scorn, sensory, staple, statute, veteran, villain, vine,
constrain, depot, emulate, forefinger, guts, inherent, intimidate, janitor, moist, nope,prod, ransom, restrain, saliva, spit, sprint, stunt, tolerant, vampire, yawn,
analogy, ancestry, archer, conspiracy, deputy, earl, fragrant, funnel, hereditary, hymn,invert, prey, procession, prophet, sarcastic, seasoning, sodium, tyranny, tyrant, vinegar,
adjoining, allege, arch, assemble, casualty, erect, foul, hectare, heighten, hospitality,mansion, outnumber, overjoyed, pasture, petition, renovate, revise, slab, terrace, turf,
analogous, binoculars, bulk, comprise, depict, dual, Fahrenheit, fulfill, grove, ore, outback,outweigh, paradox, pier, shortcut, tariff, thermometer, tilt, vice versa, whereabouts,
amber, charcoal, columnist, courteous, credentials, crickets, delta, detergent, euphemism,expire, granite, gravel, haunt, liberal, maze, moss, peck, pebble, reservoir, streak,
